iter	RMSE
0	0.9626251139
1	0.9418214204
2	0.9222387392
3	0.9034012422
4	0.8860092322
5	0.8673830544
6	0.8504526167
7	0.8331234579
8	0.8185181734
9	0.802746778
10	0.7871028322
11	0.7716069424
12	0.7566427425
13	0.7422217817
14	0.7293298797
15	0.7171134029
16	0.7038998823
17	0.6910011613
18	0.6782417724
19	0.665924578
20	0.6542005526
21	0.6435131045
22	0.6319864642
23	0.6207914334
24	0.6103738746
25	0.6002838417
26	0.5908786451
27	0.5814776559
28	0.5731851215
29	0.5644799207
30	0.5557586214
31	0.5474840707
32	0.5398831785
33	0.5320573663
34	0.5245940864
35	0.5165397714
36	0.5097546619
37	0.5019399773
38	0.4950844032
39	0.4879521547
40	0.4807050319
41	0.4739525338
42	0.4674025433
43	0.4608175244
44	0.4547943095
45	0.4493723837
46	0.4437135923
47	0.4385655751
48	0.4323237665
49	0.4265907139
50	0.4214348199
51	0.4161748705
52	0.4119074641
53	0.4072125344
54	0.4029733299
55	0.3978583461
56	0.3933213338
57	0.3887100155
58	0.3845842738
59	0.3805249684
60	0.3759601255
61	0.3719742843
62	0.3682853746
63	0.3642342486
64	0.3602362488
65	0.3569781441
66	0.3537965718
67	0.3497951726
68	0.3464988938
69	0.3429972643
70	0.3389249883
71	0.3351798523
72	0.3322898809
73	0.3291256714
74	0.3260438295
75	0.3230489562
76	0.3199089225
77	0.3170344543
78	0.3141079087
79	0.3112525303
80	0.3085773705
81	0.3059642159
82	0.303217624
83	0.3005085132
84	0.2975469914
85	0.2950090252
86	0.2922311679
87	0.2898393081
88	0.2873457287
89	0.285030975
90	0.283261679
91	0.2809700399
92	0.2787712134
93	0.276686913
94	0.2743676805
95	0.2720102084
96	0.2697134093
97	0.2677565555
98	0.2655314202
99	0.2633590991
100	0.2611287222
101	0.2592334683
102	0.2573082356
103	0.2552274819
104	0.2531543668
105	0.2513574938
106	0.2494938113
107	0.2472820741
108	0.2452326942
109	0.2434282184
110	0.2419684028
111	0.2403969018
112	0.2386739028
113	0.2368728589
114	0.2355620877
115	0.2341853888
116	0.2320573477
117	0.2300026736
118	0.2287906706
119	0.227259103
120	0.2249663646
121	0.2235743924
122	0.2215831072
123	0.2203787197
124	0.2189669596
125	0.2175058789
126	0.2161437057
127	0.215086699
128	0.213971262
129	0.2126924765
130	0.2112194296
131	0.2098642128
132	0.208505356
133	0.2074582515
134	0.2065096983
135	0.2053447857
136	0.2042380954
137	0.2031903793
138	0.2021115654
139	0.2007080063
140	0.1995801094
141	0.1981275766
142	0.1975225849
143	0.1959185422
144	0.1949787065
145	0.1934617945
146	0.192390688
147	0.1918228412
148	0.1906963653
149	0.1896962099
150	0.1882779323
151	0.1874279838
152	0.186173496
153	0.1856211752
154	0.1848423482
155	0.1842003593
156	0.1833040785
157	0.1826943431
158	0.1820007954
159	0.1809860544
160	0.1794817933
161	0.1786043777
162	0.1774962186
163	0.1763063311
164	0.1756291728
165	0.1747459952
166	0.1742052424
167	0.1732596646
168	0.1724745403
169	0.1715843795
170	0.1711043542
171	0.1703103582
172	0.1694364784
173	0.1683890261
174	0.1677796901
175	0.1672280236
176	0.1665483182
177	0.1656130516
178	0.1644648677
179	0.1640217394
180	0.1628016899
181	0.1622883519
182	0.1615816281
183	0.1609666742
184	0.1599329513
185	0.1594370852
186	0.1588077698
187	0.1583111655
188	0.1574978174
189	0.1568194351
190	0.1560376288
191	0.1557538892
192	0.1551931728
193	0.1547234388
194	0.1538911299
195	0.1532211002
196	0.1526149273
197	0.1518924543
198	0.1509081292
199	0.1504184925
200	0.1497953688
201	0.1492283204
202	0.1481585642
203	0.1476165476
204	0.1473542046
205	0.1467310098
206	0.146064176
207	0.1453316132
208	0.1450405406
209	0.1443333193
210	0.1437391443
211	0.1432515667
212	0.1426078703
213	0.1423560349
214	0.1417513519
215	0.141136384
216	0.1406479796
217	0.1401757758
218	0.1394745968
219	0.1388756
220	0.1385973835
221	0.138297232
222	0.1376557249
223	0.1369543476
224	0.1366214515
225	0.1358603862
226	0.135618691
227	0.1353372982
228	0.1347373159
229	0.1341740858
230	0.1334832833
231	0.1332787531
232	0.1331407239
233	0.132494926
234	0.1323838261
235	0.1322097204
236	0.1315954748
237	0.1310477561
238	0.1306212488
239	0.1299360353
240	0.1294269702
241	0.1289751551
242	0.1285138394
243	0.1280439306
244	0.1276224001
245	0.1273294453
246	0.1271446122
247	0.1267258849
248	0.1264148652
249	0.1262880057
250	0.1261716341
251	0.1256889905
252	0.1253424531
253	0.1248128348
254	0.1243560991
255	0.1238548803
256	0.1234174495
257	0.123209586
258	0.1229185665
259	0.1228706673
260	0.1224925364
261	0.1220666015
262	0.1217669326
263	0.1214189801
264	0.1210489252
265	0.1205929151
266	0.1202258702
267	0.1201588281
268	0.1200843233
269	0.1197308339
270	0.1193589358
271	0.1192124997
272	0.1190844894
273	0.1190299048
274	0.1187408845
275	0.118437124
276	0.1179848717
277	0.1178815153
278	0.1175573743
279	0.1171495605
280	0.1167347925
281	0.1165911441
282	0.1164861315
283	0.1164026554
284	0.1162966116
285	0.1161916868
286	0.1158542525
287	0.1156409175
288	0.1155285562
289	0.1152263781
290	0.1150705498
291	0.1149335497
292	0.114522253
293	0.114173177
294	0.1138243711
295	0.1136346133
296	0.1135227129
297	0.1134347757
298	0.1133859821
299	0.1132347801
300	0.1128961159
301	0.1126131442
302	0.1124541083
303	0.1121187053
304	0.112005929
305	0.1117855113
306	0.1117235836
307	0.111529124
308	0.1112470258
309	0.1112005473
310	0.1111061158
311	0.111016216
312	0.1109591772
313	0.1106438094
314	0.1105319387
315	0.1103552029
316	0.1102540144
317	0.1100315768
318	0.1099485346
319	0.1098810587
320	0.1097901286
321	0.1095896767
322	0.1093529488
323	0.1093110524
324	0.1090548926
325	0.1088543297
326	0.1086904959
327	0.1085657921
328	0.1084254985
329	0.1081951483
330	0.1081425136
331	0.1079773348
332	0.1079062234
333	0.1075942498
334	0.1073151992
335	0.1072570424
336	0.1069324901
337	0.1068961188
338	0.1068376558
339	0.10664608
340	0.1066039976
341	0.1063436824
342	0.106287456
343	0.1062134119
344	0.1061015832
345	0.1060096097
346	0.1058767157
347	0.1058354594
348	0.1056066502
349	0.1055786577
350	0.1053885713
351	0.1053535171
352	0.1052923861
353	0.1049651095
354	0.1048657849
355	0.1048168238
356	0.104684693
357	0.104542327
358	0.1045120648
359	0.1042956463
360	0.1040644252
361	0.103801221
362	0.1036207881
363	0.1036015223
364	0.1035736094
365	0.1033334648
366	0.1032171935
367	0.1031616608
368	0.103136744
369	0.1031216187
370	0.1030487414
371	0.1030174157
372	0.1029555286
373	0.1029070661
374	0.1026656933
375	0.1026213107
376	0.1025694303
377	0.1025534774
378	0.1023997496
379	0.1022378155
380	0.1021008704
381	0.1017889813
382	0.1017538235
383	0.1017168135
384	0.1015757919
385	0.10134894
386	0.1013356889
387	0.1010342638
388	0.1007694977
389	0.1006240624
390	0.1005695337
391	0.1003940329
392	0.1003712676
393	0.1003555177
394	0.1001845267
395	0.1000957627
396	0.1000801719
397	0.09998529445
398	0.09995095719
399	0.0999344939
400	0.09988932445
401	0.09987565595
402	0.09986495197
403	0.09977579016
404	0.09968138243
405	0.09964789749
406	0.09960823806
407	0.09945200737
408	0.09932714534
409	0.09931368154
410	0.09926448579
411	0.09923751533
412	0.09921820333
413	0.09919241308
414	0.09915171484
415	0.09898473822
416	0.09892104835
417	0.09876263526
418	0.09875009042
419	0.09872650531
420	0.09868561795
421	0.09832918778
422	0.0983207919
423	0.09809813053
424	0.09808407264
425	0.09807033486
426	0.0980652507
427	0.09803818136
428	0.09803369441
429	0.09793062652
430	0.09792424166
431	0.09791192726
432	0.09790159306
433	0.09786969472
434	0.09764378888
435	0.0976312529
436	0.09745448517
437	0.0974260868
438	0.09739851854
439	0.09739499661
440	0.09735911216
441	0.09733677602
442	0.09732589693
443	0.09732271534
444	0.09728908026
445	0.0972686859
446	0.09726450356
447	0.09725806885
448	0.09724941502
449	0.09724743531
450	0.09724513685
451	0.09694994827
452	0.09692108535
453	0.09691944026
454	0.09688460087
455	0.09688303514
456	0.09686562893
457	0.09685807234
458	0.09684869348
459	0.09682652276
460	0.09678701897
461	0.09674977238
462	0.09674784714
463	0.09671503211
464	0.09669059307
465	0.09668818273
466	0.09666238649
467	0.09649274844
468	0.0962522208
469	0.09612416042
470	0.09612236217
471	0.0960791538
472	0.09607790374
473	0.09604466123
474	0.09602661889
475	0.09602542402
476	0.09602429741
477	0.09599803096
478	0.0958160015
479	0.09580201626
480	0.09578888768
481	0.09578684356
482	0.09577862934
483	0.09577760873
484	0.09548129472
485	0.09530953887
486	0.09530886033
487	0.09530790349
488	0.09530581466
489	0.09530491095
490	0.09530435121
491	0.09517526909
492	0.09515417739
493	0.09513017695
494	0.09498006976
495	0.09477739366
496	0.09477632769
497	0.09474969011
498	0.09474865213
499	0.09471420365
