iter	Passed	Remaining
0	13	6907
1	26	6632
2	40	6700
3	54	6782
4	68	6750
5	81	6686
6	94	6685
7	108	6655
8	121	6620
9	135	6616
10	148	6613
11	162	6601
12	175	6585
13	189	6570
14	202	6542
15	216	6536
16	230	6537
17	243	6527
18	257	6519
19	270	6499
20	283	6475
21	297	6458
22	310	6447
23	323	6425
24	337	6417
25	351	6401
26	364	6378
27	377	6370
28	392	6370
29	406	6367
30	419	6347
31	432	6328
32	446	6313
33	459	6303
34	474	6297
35	487	6278
36	500	6264
37	514	6256
38	527	6240
39	541	6232
40	555	6215
41	568	6201
42	581	6181
43	595	6168
44	608	6149
45	621	6138
46	635	6123
47	648	6108
48	661	6087
49	674	6070
50	688	6062
51	702	6048
52	715	6035
53	729	6021
54	743	6015
55	756	5995
56	769	5980
57	782	5964
58	796	5953
59	810	5940
60	823	5926
61	836	5911
62	850	5898
63	863	5885
64	877	5871
65	891	5862
66	905	5851
67	918	5837
68	932	5824
69	946	5812
70	958	5792
71	972	5779
72	985	5765
73	998	5750
74	1012	5737
75	1026	5726
76	1040	5713
77	1053	5698
78	1067	5687
79	1081	5676
80	1093	5657
81	1107	5643
82	1120	5628
83	1133	5615
84	1147	5602
85	1160	5586
86	1174	5573
87	1187	5558
88	1200	5543
89	1214	5531
90	1228	5520
91	1241	5506
92	1254	5490
93	1267	5475
94	1280	5460
95	1294	5447
96	1308	5434
97	1321	5418
98	1335	5410
99	1349	5399
100	1363	5384
101	1375	5368
102	1389	5354
103	1403	5342
104	1416	5330
105	1429	5314
106	1443	5303
107	1456	5287
108	1472	5283
109	1488	5275
110	1501	5260
111	1514	5246
112	1528	5233
113	1541	5218
114	1555	5206
115	1567	5189
116	1580	5172
117	1593	5157
118	1606	5144
119	1619	5128
120	1632	5113
121	1645	5099
122	1658	5083
123	1671	5068
124	1684	5053
125	1697	5037
126	1710	5023
127	1723	5008
128	1736	4995
129	1750	4981
130	1763	4966
131	1776	4953
132	1789	4938
133	1802	4924
134	1816	4910
135	1829	4896
136	1842	4883
137	1855	4868
138	1869	4854
139	1882	4840
140	1896	4828
141	1909	4813
142	1922	4798
143	1935	4784
144	1948	4770
145	1962	4757
146	1974	4742
147	1988	4728
148	2001	4714
149	2014	4701
150	2029	4689
151	2042	4676
152	2055	4662
153	2068	4648
154	2081	4634
155	2094	4618
156	2108	4605
157	2121	4591
158	2134	4577
159	2148	4565
160	2160	4550
161	2173	4534
162	2186	4520
163	2198	4505
164	2211	4490
165	2225	4477
166	2240	4467
167	2254	4455
168	2268	4443
169	2283	4432
170	2296	4418
171	2309	4404
172	2322	4389
173	2335	4376
174	2348	4362
175	2361	4346
176	2374	4333
177	2388	4320
178	2402	4308
179	2415	4293
180	2428	4280
181	2441	4265
182	2454	4252
183	2467	4237
184	2481	4225
185	2494	4210
186	2506	4195
187	2519	4181
188	2533	4168
189	2547	4155
190	2561	4143
191	2573	4128
192	2587	4115
193	2600	4101
194	2614	4088
195	2628	4077
196	2642	4063
197	2656	4051
198	2668	4036
199	2681	4022
200	2695	4009
201	2708	3995
202	2721	3981
203	2734	3967
204	2747	3953
205	2760	3939
206	2773	3925
207	2786	3911
208	2799	3897
209	2812	3883
210	2826	3870
211	2838	3856
212	2852	3843
213	2864	3828
214	2878	3815
215	2891	3801
216	2904	3787
217	2918	3775
218	2931	3761
219	2943	3746
220	2955	3731
221	2968	3717
222	2981	3703
223	2994	3689
224	3007	3675
225	3021	3663
226	3033	3648
227	3046	3634
228	3059	3621
229	3072	3607
230	3086	3594
231	3098	3579
232	3111	3565
233	3124	3551
234	3138	3538
235	3150	3524
236	3164	3511
237	3177	3497
238	3190	3484
239	3203	3470
240	3217	3457
241	3231	3445
242	3244	3431
243	3257	3418
244	3271	3405
245	3284	3391
246	3296	3376
247	3310	3363
248	3323	3350
249	3336	3336
250	3349	3322
251	3361	3308
252	3375	3295
253	3388	3281
254	3401	3267
255	3415	3255
256	3429	3242
257	3441	3228
258	3455	3215
259	3468	3201
260	3481	3187
261	3494	3174
262	3507	3160
263	3520	3147
264	3533	3133
265	3547	3121
266	3560	3107
267	3574	3094
268	3587	3081
269	3601	3067
270	3614	3054
271	3627	3040
272	3639	3026
273	3651	3012
274	3665	2998
275	3678	2985
276	3691	2971
277	3704	2958
278	3717	2944
279	3731	2932
280	3744	2918
281	3756	2904
282	3769	2890
283	3782	2876
284	3795	2863
285	3808	2849
286	3821	2836
287	3833	2822
288	3846	2808
289	3859	2794
290	3872	2781
291	3885	2767
292	3898	2754
293	3912	2741
294	3926	2728
295	3938	2714
296	3951	2700
297	3964	2687
298	3976	2673
299	3989	2659
300	4003	2646
301	4016	2633
302	4029	2619
303	4042	2606
304	4055	2593
305	4069	2579
306	4081	2566
307	4094	2552
308	4108	2539
309	4121	2525
310	4134	2512
311	4146	2498
312	4159	2485
313	4172	2471
314	4185	2458
315	4198	2444
