Component1_fraction,Component2_fraction,Component3_fraction,Component4_fraction,Component5_fraction,Component1_Property1,Component2_Property1,Component3_Property1,Component4_Property1,Component5_Property1,Component1_Property2,Component2_Property2,Component3_Property2,Component4_Property2,Component5_Property2,Component1_Property3,Component2_Property3,Component3_Property3,Component4_Property3,Component5_Property3,Component1_Property4,Component2_Property4,Component3_Property4,Component4_Property4,Component5_Property4,Component1_Property5,Component2_Property5,Component3_Property5,Component4_Property5,Component5_Property5,Component1_Property6,Component2_Property6,Component3_Property6,Component4_Property6,Component5_Property6,Component1_Property7,Component2_Property7,Component3_Property7,Component4_Property7,Component5_Property7,Component1_Property8,Component2_Property8,Component3_Property8,Component4_Property8,Component5_Property8,Component1_Property9,Component2_Property9,Component3_Property9,Component4_Property9,Component5_Property9,Component1_Property10,Component2_Property10,Component3_Property10,Component4_Property10,Component5_Property10,BlendProperty1,BlendProperty2,BlendProperty3,BlendProperty4,BlendProperty5,BlendProperty6,BlendProperty7,BlendProperty8,BlendProperty9,BlendProperty10
0.21,0,0.42,0.25,0.12,-0.02178224,1.981250612,0.020035623,0.140315124,1.032028863,-1.229799457,-0.580274285,0.133998041,0.817835179,0.216116388,-0.393322054,0.221189295,0.656103577,0.074461078,-3.082937536,-1.763084912,0.984514824,-1.548114528,-1.654289587,-1.410049261,0.051779485,1.005824473,-0.430868469,1.743607722,0.296712805,-1.483333118,-1.748358537,1.503443263,0.02304264,1.741302611,-0.509379797,-0.468733113,-1.31767543,0.132154921,0.221236896,0.293814902,-0.11575289,-0.917991588,-0.274703523,0.513325502,0.480368241,1.044967034,-0.450955812,0.674571793,-0.636394316,-1.244962923,-1.355050375,-0.314423092,0.993593428,-2.728928336,0.489143253,0.607588533,0.321670368,-1.236054697,1.601132097,1.384662362,0.305849575,0.19345994,0.580374249,-0.762737568
0.02,0.33,0.19,0.46,0,-0.224339176,1.148036332,-1.10784018,0.149533104,-0.354000103,-1.075041169,0.89283502,1.363473423,-1.743684139,1.273144089,-0.691083978,-0.255619586,1.270775983,-0.333798213,-2.086526231,-1.869709478,0.896234096,-1.541201927,-0.244736884,-0.175381414,-0.375339756,1.081967107,-0.017281359,-1.913700083,-0.436747247,-0.222144716,0.344109285,0.703365216,-0.737121029,0.988643156,-1.204670523,0.795789877,0.248476606,0.366540154,0.125072102,0.948337621,0.81262089,-0.57472438,-0.837602024,0.63632852,-1.958826207,-0.019602844,-0.807923094,0.148714688,1.439313145,-1.160434824,-0.014276185,-0.135967623,-1.221155412,0.896222168,-1.257481312,-1.475282742,-0.437385066,-1.402911279,0.147941246,-1.14324371,-0.439171337,-1.379040767,-1.280988685,-0.50362549
0.08,0.08,0.18,0.5,0.16,0.457762974,0.24259084,-0.922492057,0.908212905,0.972003327,0.240404279,2.210004738,-2.652413483,-0.593850998,-0.678255082,-0.270626186,1.434055602,0.4994054,-0.941673225,1.437899238,-3.062889136,-0.278578664,0.356307301,0.480320802,-0.047104235,0.185845082,-0.020312504,-0.724471782,-2.13580485,-3.052836624,-1.519467607,-0.10294316,0.613739881,-0.591977409,1.836633076,0.020619422,2.045833596,-1.689579241,-0.279132831,-0.664966169,-0.671135763,0.397808251,2.148910546,-0.983114894,1.039422745,-0.798978058,-0.444026603,0.148404838,-0.793607176,0.123833932,0.006828809,0.668733623,0.015449138,-0.098660628,-0.424313922,1.784348697,0.450467238,0.622686931,1.375613542,-0.428789696,1.161616283,0.601288902,0.872950008,0.659999934,2.024575939
0.25,0.42,0,0.07,0.26,-0.577733757,-0.930825631,0.815283985,0.447514315,0.455716747,-0.587814864,1.962580592,-1.14789103,0.268938182,0.207317732,0.912940053,-0.514868131,0.217608403,0.319216033,-1.337975689,0.734976329,-0.231042888,0.753781912,0.992424481,-0.970699923,-0.238266277,0.486112667,1.234450914,0.463315647,1.066736714,-1.145807216,0.13588847,-0.998751978,0.911127146,-0.261213152,-0.539061175,-1.559085164,-0.631777236,0.93139796,-0.096509135,0.754505818,2.351753287,-1.119210265,-0.275574113,-1.273487288,-0.534135248,1.155512697,-0.760428375,0.450159196,-0.9737788,0.052972167,-1.024784872,0.118950794,2.400556068,-0.576430254,-0.066421981,0.483730438,-1.865442383,-0.046294721,-0.163819662,-0.209692832,-1.840565504,0.300293399,-0.351336306,-1.551914205
0.26,0.16,0.08,0.5,0,0.120414951,0.666267781,-0.626934241,2.725357238,0.392258788,0.12761434,-0.17743035,-1.517532329,0.114478037,0.626086187,1.342375591,-0.006793094,-0.370659062,0.576509665,0.115239135,-0.580059975,-1.079896039,-1.330367568,-1.522460917,0.48738401,0.63853132,-0.143724895,-0.239138192,1.32153055,1.566761098,0.148538301,0.2820467,0.239846128,0.420000025,-1.896231416,-0.592914214,2.051079709,-0.44292222,-0.050262545,0.507293641,-0.79293046,0.060374454,-0.785587087,1.414116352,0.009196197,-0.389350036,1.799238127,-0.912373632,1.767557287,-0.467038085,2.104922405,0.858593059,-0.46910965,0.715788783,-2.038340977,-0.118912577,-1.172398319,0.301785447,-1.787406881,-0.493361102,-0.528048682,0.286343919,-0.265192197,0.430513308,0.735073429
0.5,0,0,0.5,0,-1.1260323,0.300001025,-0.985340558,-0.612352952,0.111721034,-0.431745065,0.115736075,-0.966689421,-1.368140481,0.192098436,0.016162936,0.589218008,-0.942044679,-1.042985727,-0.459146439,-0.960861993,0.006635994,0.968072571,0.084834791,1.375703474,-0.017186952,-0.884454749,-0.526646536,-0.521444293,-2.047466996,3.18302337,0.740367961,-1.045365885,0.196937198,-0.444001877,0.028795131,-2.058305243,1.692545181,0.286997654,-1.551778642,-0.766318814,-0.16555798,-1.923984512,0.555466052,-0.312738702,0.57446744,-0.175991229,-0.1901133,0.692745227,-0.392671326,-0.00195068,0.60164304,-0.592481612,0.278067073,-0.752109026,-1.517786947,-1.907974775,0.304985319,-1.265073233,1.558218182,1.144948437,0.28951557,-0.272655905,0.179287198,0.439889426
0.22,0,0.3,0.26,0.22,-1.370557156,0.343101252,-0.151224045,0.022084516,-1.087199045,1.948975123,0.320536733,1.006810751,0.431353357,-0.291827632,-0.586343603,0.683667855,0.942662121,1.227016175,-0.379930361,-1.09287336,0.169615799,-0.379884804,-0.635152561,1.092424704,-0.621556381,0.404093253,0.539450427,0.134194398,0.569440975,0.186838153,1.348547661,-0.374758784,-0.418499531,0.467445683,-1.934085948,0.336859943,1.569697743,-0.575030931,1.019928779,1.061715611,0.501899166,-0.024311435,1.493961875,-1.174718742,0.091439805,0.46745887,0.545014127,-0.313594023,-0.946203731,0.055218083,1.038077661,1.021289049,0.961302482,-0.099983882,0.844289851,1.990310011,1.226777118,1.386495493,1.182153245,1.271472538,1.193911964,2.122023394,0.215305279,1.043199269
0.04,0.06,0.31,0.4,0.19,-1.145411604,1.341391108,0.292412433,0.254938697,0.004478759,-0.001569485,0.222814592,-1.738418589,-0.909731939,-0.994055484,0.892490742,-1.467834515,-0.04038086,-0.196875871,-0.655668558,-0.717148702,-0.543420847,1.714633579,-0.112908214,1.630119879,-0.460634695,-1.677564604,0.410062965,1.042662783,-0.156242435,1.926842369,1.393286544,0.827814523,0.129296104,0.726556381,-0.150181802,0.117152746,-1.607833744,1.664885865,-0.506397858,-1.383709004,1.266036782,0.040484394,0.400625435,0.174740301,0.808652485,-1.422693002,1.352708187,-1.148516755,-0.389234207,-0.483189158,0.679800111,-1.498969994,1.235519245,1.039329333,1.801288844,0.435323017,1.19637833,2.728602783,-1.295891431,2.099864464,1.164257024,1.556684145,1.114856834,1.288130399
0.05,0.17,0.41,0.33,0.04,0.228544065,1.506466683,0.569585314,1.367107978,1.032028863,-0.870117589,-1.081879959,-0.210933948,-0.414862847,1.273144089,-1.316034883,-1.108273719,-1.375345438,1.285195632,-0.433477118,-0.712071341,-0.210670412,2.146671199,-0.493183224,-2.039676414,0.684508944,-0.318239724,-0.207792642,1.737358584,1.260607014,0.06151779,0.027068706,0.692339444,0.610145112,0.468597713,-0.404161977,1.14895818,-0.472258921,2.081900677,0.536301526,-0.392022917,-0.963301107,-0.365268094,0.719758788,0.448380607,-1.965092028,1.190342153,2.172039399,-1.41736633,-1.694558296,-0.836206269,0.900092389,1.136738042,-0.330335351,-0.024791982,0.031043511,-0.634237602,0.170133556,0.029878936,-0.58467015,0.288827277,0.157099125,-0.061769584,0.294673691,-0.199905381
0.13,0.07,0.48,0.22,0.1,0.080175121,0.677000248,0.285418164,0.234498829,0.520263034,0.654185972,-1.490441679,0.156211461,-0.09599877,0.074624491,1.064065451,-0.30642709,0.888120767,1.282687897,1.437899238,0.069842137,-0.46872177,2.378243363,-0.168681882,0.779214592,1.424877609,0.640697546,-0.597522306,0.325834619,1.604552845,-0.31579665,0.98172246,-1.403430559,-0.134740281,0.23713573,-0.546703686,-0.457611355,-0.898252275,1.071604873,0.314964053,-0.460346771,-0.042682445,0.449250642,-0.396212987,1.330410748,0.510690337,0.623984921,-0.387566446,-0.641302075,0.33748213,-0.117309076,-0.405061543,-0.60203948,-0.303169952,-0.573658203,0.152606958,0.293616376,0.147048762,1.313949153,-0.082938294,-0.678059293,0.134421817,0.538253952,-0.853402618,-1.302577343
